epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,22.594,0.6097,1.70458,0.92376,0.01068,1,0.01135,0.01021,0.43901,3.81711,0.75367,0.000175313,0.000175313,0.000175313
23,23.5868,0.80212,1.40391,0.86461,0.01068,1,0.01135,0.01021,0.43901,3.81711,0.75367,0.000177436,0.000177436,0.000177436
24,24.5294,0.77421,2.09974,0.82233,0.01068,1,0.01135,0.01021,0.43901,3.81711,0.75367,0.000178994,0.000178994,0.000178994
25,25.5997,0.91399,1.51738,0.88091,0.0106,1,0.0197,0.01773,0.39302,3.76251,0.75408,0.000179985,0.000179985,0.000179985
26,26.5779,0.62733,1.50143,0.77811,0.0106,1,0.0197,0.01773,0.39302,3.76251,0.75408,0.000180411,0.000180411,0.000180411
27,27.5621,0.41776,2.6191,0.75151,0.0106,1,0.0197,0.01773,0.39302,3.76251,0.75408,0.000180271,0.000180271,0.000180271
28,28.6344,0.98984,1.65431,0.93951,0.01027,1,0.01074,0.01026,0.37881,3.84955,0.76032,0.000179565,0.000179565,0.000179565
29,29.6393,0.83113,1.68452,0.96121,0.01027,1,0.01074,0.01026,0.37881,3.84955,0.76032,0.000178293,0.000178293,0.000178293
30,30.7467,0.70132,1.69462,0.81947,0.01027,1,0.01074,0.01026,0.37881,3.84955,0.76032,0.000176456,0.000176456,0.000176456
31,31.7928,0.78755,1.45902,0.82476,0.0101,1,0.01051,0.01051,0.35348,3.87276,0.76076,0.000174052,0.000174052,0.000174052
32,32.7392,0.74062,1.63886,0.99913,0.0101,1,0.01051,0.01051,0.35348,3.87276,0.76076,0.000171083,0.000171083,0.000171083
33,33.7947,0.6509,1.99285,0.79297,0.0101,1,0.01051,0.01051,0.35348,3.87276,0.76076,0.000167547,0.000167547,0.000167547
34,34.9381,1.02248,1.80832,0.97461,0.00997,1,0.0104,0.00994,0.38516,3.86516,0.7593,0.000163446,0.000163446,0.000163446
35,35.894,0.66781,2.07615,0.92552,0.00997,1,0.0104,0.00994,0.38516,3.86516,0.7593,0.000158779,0.000158779,0.000158779
36,36.8266,0.52855,1.53333,0.82712,0.00997,1,0.0104,0.00994,0.38516,3.86516,0.7593,0.000153546,0.000153546,0.000153546
37,37.7664,0.43357,1.49938,0.84698,0.00997,1,0.0104,0.00994,0.38516,3.86516,0.7593,0.000147747,0.000147747,0.000147747
38,38.8008,0.62973,1.52161,0.76899,0.0102,1,0.01059,0.01011,0.39255,3.87196,0.75883,0.000141382,0.000141382,0.000141382
39,39.8115,0.4728,1.2646,0.78215,0.0102,1,0.01059,0.01011,0.39255,3.87196,0.75883,0.000134452,0.000134452,0.000134452
40,40.8081,0.63188,1.60413,0.88295,0.0102,1,0.01059,0.01011,0.39255,3.87196,0.75883,0.000126955,0.000126955,0.000126955
41,41.7823,0.67027,2.31036,0.9282,0.0102,1,0.01059,0.01011,0.39255,3.87196,0.75883,0.000118893,0.000118893,0.000118893
42,42.7979,0.67377,2.13471,0.87613,0.01014,1,0.01044,0.00997,0.37813,3.86035,0.7578,0.000110264,0.000110264,0.000110264
43,43.7585,0.75753,1.83535,0.8306,0.01014,1,0.01044,0.00997,0.37813,3.86035,0.7578,0.00010107,0.00010107,0.00010107
44,44.6986,0.51087,1.93785,0.75246,0.01014,1,0.01044,0.00997,0.37813,3.86035,0.7578,9.13102e-05,9.13102e-05,9.13102e-05
45,45.6319,0.95443,2.54616,0.8817,0.01014,1,0.01044,0.00997,0.37813,3.86035,0.7578,8.09843e-05,8.09843e-05,8.09843e-05
46,46.5962,0.58382,1.86059,0.77696,0.00993,1,0.03108,0.03085,0.37056,3.82293,0.75814,7.00924e-05,7.00924e-05,7.00924e-05
47,47.6772,0.40681,1.88215,0.85496,0.00993,1,0.03108,0.03085,0.37056,3.82293,0.75814,5.86347e-05,5.86347e-05,5.86347e-05
48,48.7379,0.50082,2.09945,0.81774,0.00993,1,0.03108,0.03085,0.37056,3.82293,0.75814,4.66111e-05,4.66111e-05,4.66111e-05
49,49.7523,0.63979,1.95989,0.74551,0.00993,1,0.03108,0.03085,0.37056,3.82293,0.75814,3.40216e-05,3.40216e-05,3.40216e-05
50,50.8306,0.817,2.29798,0.77242,0.01,1,0.14217,0.14136,0.37262,3.77295,0.75848,2.08663e-05,2.08663e-05,2.08663e-05
